iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
IRN,Iran,2024-09-21,0.0,0.0,5.9,2024-09-27
IRN,Iran,2024-09-28,0.0,0.0,8.7,2024-10-04
IRN,Iran,2024-10-05,0.0,0.1,6.5,2024-10-11
IRN,Iran,2024-10-12,0.0,0.0,8.8,2024-10-18
IRN,Iran,2024-10-19,0.0,0.0,7.8,2024-10-25
IRN,Iran,2024-10-26,0.0,0.1,10.2,2024-11-01
IRN,Iran,2024-11-02,0.0,0.0,12.0,2024-11-08
IRN,Iran,2024-11-09,0.0,0.0,6.6,2024-11-15
IRN,Iran,2024-11-16,0.0,0.0,10.4,2024-11-22
IRN,Iran,2024-11-23,0.0,0.1,8.9,2024-11-29
IRN,Iran,2024-11-30,0.0,0.1,9.4,2024-12-06
IRN,Iran,2024-12-07,0.0,0.0,8.4,2024-12-13
