title,description,event_type,actor,recipient,actor_id,recipient_id,location,iso3,latitude,longitude,num_sources,date_publish,source_domain,url
Xi Jinping will visit Russia in 2025,"Putin visited China in February 2022, proclaiming a",AGREE,Putin,China,,Q148,China,CHN,39.9075,116.39723,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/world/7dc17ad102a6']
World leaders react to Jimmy Carter’s death,"Joe Biden, Donald Trump, Bill and Hillary Clinton are among the world leaders who have made statements after the former US president’s passing",CONSULT,US,,Q30,,Jimmy Carter,,,,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/world/749640a454f3']
"US, UAE discussed lifting Assad sanctions","According to the sources, the new rebel advance is a signal of precisely the sort of weakness in Assad's alliance with Iran that the Emirati and US initiative aims to exploit",CONCEDE,Assad,,Q720179,,Assad,IRN,35.69439,51.42151,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/world/74c54af74d76']
Israeli military actions had 'influence' on Hamas' hostage killin,"The recovery in September of the bodies of six Israeli hostages, including American-Israeli Hersh Goldberg-Polin, triggered deep shock in Israel",RETREAT,Israeli,Hamas,,Q38799,Hamas,ISR,31.76904,35.21633,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/world/middle-east/7b892e6dc6b0']
"Tears, hope as Syrians return home from Turkey",Over the weekend rebels seized Damascus and Assad fled to Russia following 13 years of civil war,RETREAT,Assad,Russia,Q720179,Q159,Russia,RUS,55.75222,37.61556,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/world/9810fdf2353f']
Looting cripples food supply in Gaza,At least $9.5 million in aid lost in October because of gang attacks while Israel pledged to crack down on gangs but has yet to do so,AID,Israel,,Q801,,Gaza,PSE,31.50161,34.46672,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/world/middle-east/3e09647cbde3']
Dhaka summons Indian high commissioner,Pranay Verma was asked to come to the Foreign Ministry following an attack on Bangladesh’s Assistant High Commission in Agartala,REQUEST,Foreign Ministry,Indian,,,Foreign Ministry,BGD,23.7104,90.40744,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/bangladesh/bfd144802e49']
88.7% of Bangladeshis want depoliticised police force: survey,Eighty percent of respondents call for the establishment of separate interrogation rooms with transparent glass for questioning suspects in custody,MOBILIZE,Bangladeshis,,Q4855428,,,,,,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/bangladesh/24f0909fcc8c']
"Trump discussed border, trade with Trudeau",Trump pledged to impose 25% tariffs on Canadian and Mexican imports raising fears of a trade war between the US and two of its biggest trading partners,AGREE,US,,Q30,,US,,,,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/world/americas/eecbcf4cae70']
"Israel, Hezbollah exchange strikes, ceasefire violations mount",Nine people were killed in Israeli strikes on the Lebanese towns of Talousa and Haris after Hezbollah fired missiles on an Israeli military position,ASSAULT,Israeli,Hezbollah,,Q41053,Israeli,USA,39.43534,-84.20299,2,2025-01-15 00:00:00,"['bdnews24.com', 'www.thejournal.ie']","['https://bdnews24.com/world/6b7414f0df52', 'https://www.thejournal.ie/israeli-air-strikes-kill-11-people-in-lebanon-despite-ceasefire-deal-6561489-Dec2024/']"
Hamas releases video of Israeli-American hostage,"The video shows Edan Alexander, 20, looking pale in a dark space against a wall. He pleads for US President-elect Trump to secure his release",RETREAT,US,,Q30,,Israeli,,,,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/world/7f2602382947']
Iran protests over arrests of its nationals,"Abedini, a resident of both Switzerland and Iran, is arrested in Italy at the request of the US government",MOBILIZE,Iran,,Q794,,Italy,ITA,41.89193,12.51133,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/world/middle-east/9389ea88a96e']
Movement welcomes govt’s decision to initiate July proclamation,It announces the decision to hold the “March for Unity” event instead of the programme to announce the proclamation,PROTEST,“,,Q8043,,“,,,,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/bangladesh/4ff1b0df7291']
7 killed in landslide in India's Tamil Nadu,The extremely heavy rainfall in parts of Tamil Nadu was caused by the remnants of Cyclone Fengal,ASSAULT,India,,Q668,,Tamil Nadu,,,,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/neighbours/cfbbf98ebc44']
Albania bans TikTok for a year,"The ban, part of a broader plan to make schools safer, will come into effect early next year, Prime Minister Edi Rama says",COERCE,European,,,,TikTok,COL,11.16099,-72.59238,2,2025-01-15 00:00:00,"['bdnews24.com', 'www.rnz.co.nz']","['https://bdnews24.com/socialmedia/51d57b1705a4', 'https://www.rnz.co.nz/news/world/537372/albania-bans-tiktok-for-a-year-after-killing-of-teenager']"
'Time to act' on Hasina's return not now: MoFA,A foreign secretary-level meeting between India and Bangladesh is set for Dec 9 in Dhaka to ease tensions and revitalise ties,CONCEDE,India,,Q668,,Hasina,IND,28.63576,77.22445,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/bangladesh/9a2512f0d01f']
Govt is in contact with Arakan Army: home advisor,"Over 60,000 Rohingya have sought refuge in Ukhiya and Teknaf due to conflict",MOBILIZE,Govt,Arakan Army,,Q4783799,Govt,,,,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/bangladesh/50d55b63d82d']
Iraqi fighters head to Syria to battle rebels,"Iran's constellation of allied regional militia groups, aided by Russian air power, has been integral to the success of pro-government forces in subduing rebels in Syria",COOPERATE,Iran,Syria,Q794,Q858,Iran,IRN,35.69439,51.42151,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/world/middle-east/a4e06c100a4f']
"5 detained, Tk 75mn in smuggled gold seized at Dhaka airport",The passengers arrived in Dhaka on separate flights from Malaysia,RETREAT,Dhaka,,Q1354,,Dhaka,BGD,23.7104,90.40744,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/bangladesh/9ce733f5a6e5']
Pakistan sectarian clashes toll hits 130: official,"Kurram, near the border with Afghanistan, ignited in a fresh wave of attacks last month when clashes between Sunnis and Shias left dozens dead",ASSAULT,Kurram,Sunnis,Q6446489,Q483654,Kurram,AFG,34.52813,69.17233,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/world/south-asia/a9b1e7ab39b0']
Syrian rebels enter Hama,"They say they have taken districts in the city's northeast and had seized the central prison, freeing detainees",RETREAT,Hama,Hama,Q173545,Q173545,Hama,SYR,33.5102,36.29128,11,2025-01-15 00:00:00,"['bdnews24.com', 'www.nbcnews.com', 'www.rnz.co.nz', 'www.straitstimes.com', 'www.irishtimes.com', 'www.cbc.ca', 'www.voanews.com', 'www.ynetnews.com', 'www.bbc.com', 'www.aljazeera.com', 'www.rte.ie']","['https://bdnews24.com/world/fb93cb72aa5a', 'https://www.nbcnews.com/news/world/syria-civil-war-rebel-army-hama-city-bashar-assad-retreat-rcna182978', 'https://www.rnz.co.nz/news/world/535810/syrian-rebels-capture-second-major-city-as-army-withdraws-from-hama', 'https://www.straitstimes.com/world/middle-east/syrian-rebels-say-they-have-begun-to-enter-crucial-city-of-hama', 'https://www.irishtimes.com/world/middle-east/2024/12/05/syrian-rebels-capture-key-city-of-hama-in-new-advance-dealing-fresh-blow-to-assad/', 'https://www.cbc.ca/news/world/syria-hama-fighting-1.7401814', 'https://www.voanews.com/a/syrian-rebels-capture-second-major-city/7888298.html', 'https://www.ynetnews.com/article/ry3grmjekx', 'https://www.bbc.com/news/articles/cql5r2px4yyo', 'https://www.aljazeera.com/news/2024/12/5/syrian-opposition-fighters-claim-to-have-entered-the-crucial-city-of-hama', 'https://www.rte.ie/news/middle-east/2024/1205/1484805-syria-rebels-hama/']"
Israeli airstrikes on Gaza kill two aid workers,Israeli military says it killed militant who it says worked for World Central Kitchen charity,AID,Israeli,,,,Gaza,PSE,31.50161,34.46672,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/world/middle-east/ce03c62a20db']
Russia strikes in Syrian rebels in support of Assad,A major attack by Islamist Hayat Tahrir al-Sham rebels swept through the city of Aleppo in the biggest challenge to the Syrian president in years,ASSAULT,Islamist,Syrian,,,Aleppo,SYR,36.20124,37.16117,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/world/middle-east/f7745d6261f8']
