iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
MNE,Montenegro,2024-09-14,0.1,0.7,4.6,2024-09-20
MNE,Montenegro,2024-09-21,0.2,1.2,4.4,2024-09-27
MNE,Montenegro,2024-09-28,0.0,0.3,3.7,2024-10-04
MNE,Montenegro,2024-10-05,0.2,0.7,3.3,2024-10-11
MNE,Montenegro,2024-10-12,0.0,0.3,4.5,2024-10-18
MNE,Montenegro,2024-10-19,0.0,0.4,2.2,2024-10-25
MNE,Montenegro,2024-10-26,0.2,0.6,4.3,2024-11-01
MNE,Montenegro,2024-11-02,0.6,1.3,4.1,2024-11-08
MNE,Montenegro,2024-11-09,0.0,0.2,3.3,2024-11-15
MNE,Montenegro,2024-11-16,0.0,0.0,3.3,2024-11-22
MNE,Montenegro,2024-11-23,0.0,0.2,3.4,2024-11-29
MNE,Montenegro,2024-11-30,0.0,0.2,2.9,2024-12-06
