iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
PAN,Panama,2024-09-14,0.0,0.3,12.1,2024-09-20
PAN,Panama,2024-09-21,0.0,0.6,15.3,2024-09-27
PAN,Panama,2024-09-28,0.0,0.5,15.0,2024-10-04
PAN,Panama,2024-10-05,0.0,0.4,14.9,2024-10-11
PAN,Panama,2024-10-12,0.2,0.8,15.9,2024-10-18
PAN,Panama,2024-10-19,0.1,0.6,16.0,2024-10-25
PAN,Panama,2024-10-26,0.2,0.6,12.9,2024-11-01
PAN,Panama,2024-11-02,0.0,0.7,18.7,2024-11-08
PAN,Panama,2024-11-09,0.0,0.4,14.7,2024-11-15
PAN,Panama,2024-11-16,0.1,0.6,14.9,2024-11-22
PAN,Panama,2024-11-23,0.1,0.4,14.5,2024-11-29
PAN,Panama,2024-11-30,0.1,0.6,14.8,2024-12-06
