iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
GHA,Ghana,2024-09-14,0.6,7.9,29.2,2024-09-20
GHA,Ghana,2024-09-21,0.6,5.3,26.3,2024-09-27
GHA,Ghana,2024-09-28,0.5,6.3,30.9,2024-10-04
GHA,Ghana,2024-10-05,0.4,7.7,29.1,2024-10-11
GHA,Ghana,2024-10-12,0.4,6.5,30.7,2024-10-18
GHA,Ghana,2024-10-19,0.7,7.5,27.3,2024-10-25
GHA,Ghana,2024-10-26,0.6,6.5,29.2,2024-11-01
GHA,Ghana,2024-11-02,0.6,7.2,26.3,2024-11-08
GHA,Ghana,2024-11-09,0.6,6.5,24.0,2024-11-15
GHA,Ghana,2024-11-16,0.4,6.8,29.0,2024-11-22
GHA,Ghana,2024-11-23,0.5,7.8,32.5,2024-11-29
GHA,Ghana,2024-11-30,0.7,7.8,31.8,2024-12-06
