iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
BEL,Belgium,2024-09-14,0.2,4.3,23.5,2024-09-20
BEL,Belgium,2024-09-21,0.1,2.9,23.0,2024-09-27
BEL,Belgium,2024-09-28,0.0,3.7,20.6,2024-10-04
BEL,Belgium,2024-10-05,0.3,4.1,26.3,2024-10-11
BEL,Belgium,2024-10-12,0.1,3.6,20.8,2024-10-18
BEL,Belgium,2024-10-19,0.5,4.2,23.8,2024-10-25
BEL,Belgium,2024-10-26,0.1,3.9,25.8,2024-11-01
BEL,Belgium,2024-11-02,0.3,3.9,23.2,2024-11-08
BEL,Belgium,2024-11-09,0.0,2.3,21.0,2024-11-15
BEL,Belgium,2024-11-16,0.2,3.4,21.7,2024-11-22
BEL,Belgium,2024-11-23,0.1,3.6,21.8,2024-11-29
BEL,Belgium,2024-11-30,0.1,4.1,23.3,2024-12-06
