iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
GEO,Georgia,2024-10-05,0.0,0.1,1.8,2024-10-11
GEO,Georgia,2024-10-12,0.0,0.0,1.3,2024-10-18
GEO,Georgia,2024-10-19,0.1,0.5,2.1,2024-10-25
GEO,Georgia,2024-10-26,0.0,0.1,1.0,2024-11-01
GEO,Georgia,2024-11-02,0.1,0.4,1.8,2024-11-08
GEO,Georgia,2024-11-09,0.0,0.0,1.2,2024-11-15
GEO,Georgia,2024-11-16,0.0,0.3,1.2,2024-11-22
GEO,Georgia,2024-11-23,0.0,0.5,1.8,2024-11-29
GEO,Georgia,2024-11-30,0.1,0.1,0.9,2024-12-06
GEO,Georgia,2024-12-07,0.0,0.1,1.1,2024-12-13
GEO,Georgia,2024-12-14,0.0,0.0,1.3,2024-12-20
GEO,Georgia,2024-12-21,0.1,0.1,1.2,2024-12-27
