iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
MYT,Mayotte,2024-10-05,1.5,3.6,11.9,2024-10-11
MYT,Mayotte,2024-10-12,1.4,4.7,15.5,2024-10-18
MYT,Mayotte,2024-10-19,1.8,4.3,14.8,2024-10-25
MYT,Mayotte,2024-10-26,2.8,6.0,17.2,2024-11-01
MYT,Mayotte,2024-11-02,2.6,6.4,16.3,2024-11-08
MYT,Mayotte,2024-11-09,1.2,3.0,14.6,2024-11-15
MYT,Mayotte,2024-11-16,1.7,4.1,11.7,2024-11-22
MYT,Mayotte,2024-11-23,2.2,5.7,14.8,2024-11-29
MYT,Mayotte,2024-11-30,2.7,6.6,19.1,2024-12-06
MYT,Mayotte,2024-12-07,2.5,5.9,16.6,2024-12-13
MYT,Mayotte,2024-12-14,1.7,4.8,14.1,2024-12-20
MYT,Mayotte,2024-12-21,1.4,4.0,13.4,2024-12-27
