iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
CYP,Cyprus,2024-10-05,1.4,4.7,10.1,2024-10-11
CYP,Cyprus,2024-10-12,0.8,2.9,10.1,2024-10-18
CYP,Cyprus,2024-10-19,0.6,3.2,9.3,2024-10-25
CYP,Cyprus,2024-10-26,2.1,4.8,11.1,2024-11-01
CYP,Cyprus,2024-11-02,1.0,2.9,7.9,2024-11-08
CYP,Cyprus,2024-11-09,1.6,3.7,9.0,2024-11-15
CYP,Cyprus,2024-11-16,0.7,3.3,7.4,2024-11-22
CYP,Cyprus,2024-11-23,1.1,5.2,11.8,2024-11-29
CYP,Cyprus,2024-11-30,0.8,3.4,9.6,2024-12-06
CYP,Cyprus,2024-12-07,1.1,3.3,9.2,2024-12-13
CYP,Cyprus,2024-12-14,0.9,2.3,8.8,2024-12-20
CYP,Cyprus,2024-12-21,1.6,4.4,10.3,2024-12-27
