iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
RUS,Russia,2024-10-05,3.2,8.8,62.6,2024-10-11
RUS,Russia,2024-10-12,3.8,9.4,68.1,2024-10-18
RUS,Russia,2024-10-19,0.9,2.4,44.9,2024-10-25
RUS,Russia,2024-10-26,1.0,3.0,50.6,2024-11-01
RUS,Russia,2024-11-02,2.6,5.8,59.8,2024-11-08
RUS,Russia,2024-11-09,2.0,4.0,49.7,2024-11-15
RUS,Russia,2024-11-16,2.2,5.4,58.9,2024-11-22
RUS,Russia,2024-11-23,5.3,11.0,66.6,2024-11-29
RUS,Russia,2024-11-30,1.8,4.9,58.0,2024-12-06
RUS,Russia,2024-12-07,2.6,6.5,51.3,2024-12-13
RUS,Russia,2024-12-14,1.0,2.9,54.4,2024-12-20
RUS,Russia,2024-12-21,2.7,8.4,62.1,2024-12-27
