iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
BIH,Bosnia and Herzegovina,2024-10-05,1.0,3.7,10.0,2024-10-11
BIH,Bosnia and Herzegovina,2024-10-12,1.3,4.5,7.9,2024-10-18
BIH,Bosnia and Herzegovina,2024-10-19,1.7,3.8,9.6,2024-10-25
BIH,Bosnia and Herzegovina,2024-10-26,2.2,4.5,9.6,2024-11-01
BIH,Bosnia and Herzegovina,2024-11-02,1.7,4.8,11.2,2024-11-08
BIH,Bosnia and Herzegovina,2024-11-09,1.2,3.7,8.0,2024-11-15
BIH,Bosnia and Herzegovina,2024-11-16,2.4,6.8,12.5,2024-11-22
BIH,Bosnia and Herzegovina,2024-11-23,1.7,4.6,9.7,2024-11-29
BIH,Bosnia and Herzegovina,2024-11-30,0.9,3.0,7.8,2024-12-06
BIH,Bosnia and Herzegovina,2024-12-07,2.0,5.0,9.7,2024-12-13
BIH,Bosnia and Herzegovina,2024-12-14,2.2,5.4,9.9,2024-12-20
BIH,Bosnia and Herzegovina,2024-12-21,1.9,4.7,9.8,2024-12-27
