,ISO_3,year,"Literacy rate, adult total (% of people ages 15 and above)","Compulsory education, duration (years)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Primary education, teachers","Adjusted net enrollment rate, primary (% of primary school age children)",Children out of school (% of primary school age),"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Adolescents out of school (% of lower secondary school age),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)",Expenditure on tertiary education (% of government expenditure on education),"Government expenditure on education, total (% of GDP)"
0,PRI,1997,78.78879610697427,14.0,65.25266106923422,102.22320125000002,144333.07291666666,93.93688625,4.6436713319271785,45.65032259623207,14.101265291372933,28.23860828081769,6.217178756992022,8.880120952924095,0.10926828316102427,1.0388824567198756,7.754728883504867,93.8020455042521,91.12765312194827,95.31308205922446,96.42956606547037,21.740689166666666,3.65639599164327
1,PRI,1998,79.34024302164713,13.0,73.46844482421875,100.23843541666668,87617.38020833333,91.95322125,4.821622606599703,59.23042106628416,18.809819221496582,45.688911120096876,8.950721979141235,12.056887467702234,0.705664121856292,5.317341732482109,15.568338076273605,92.61902332305907,86.85492070515953,93.77643585205078,96.63730367024738,18.556944583333333,4.256651659806568
2,PRI,1999,79.34024302164713,13.0,73.46844482421875,100.23843541666668,87617.38020833333,91.95322125,4.821622606599703,59.23042106628416,18.809819221496582,45.688911120096876,8.950721979141235,12.056887467702234,0.705664121856292,5.317341732482109,15.568338076273605,92.61902332305907,86.85492070515953,93.77643585205078,96.63730367024738,18.556944583333333,4.256651659806568
3,PRI,2000,93.83696619669595,13.0,89.0299987792969,101.21558625,252787.32291666666,95.94463458333334,2.433156858508785,81.5599975585938,37.6100006103516,74.4400024414062,6.3282897916311995,14.486712912718438,0.7433262436340253,3.2745940486590075,25.3299999237061,93.45962238311768,91.63756068547568,95.95300181706747,90.56318473815921,21.610064166666668,4.476410339275995
4,PRI,2001,73.99276097615561,16.0,46.37892675399782,108.26848375,45827.083333333336,90.53805374999999,7.541574239730828,27.011341571807847,12.907328814268109,19.06963765621187,18.62791657447815,8.940558423598606,0.10852863259303076,1.1023640497587626,5.173058877388636,93.50525061289468,90.60392220815025,95.66755199432373,96.0518134435018,14.72825625,3.112642914056778
5,PRI,2002,73.99276097615561,16.0,46.37892675399782,108.26848375,45827.083333333336,90.53805374999999,7.541574239730828,27.011341571807847,12.907328814268109,19.06963765621187,18.62791657447815,8.940558423598606,0.10852863259303076,1.1023640497587626,5.173058877388636,93.50525061289468,90.60392220815025,95.66755199432373,96.0518134435018,14.72825625,3.112642914056778
6,PRI,2003,73.99276097615561,16.0,46.37892675399782,108.26848375,45827.083333333336,90.53805374999999,7.541574239730828,27.011341571807847,12.907328814268109,19.06963765621187,18.62791657447815,8.940558423598606,0.10852863259303076,1.1023640497587626,5.173058877388636,93.50525061289468,90.60392220815025,95.66755199432373,96.0518134435018,14.72825625,3.112642914056778
7,PRI,2004,73.99276097615561,16.0,46.37892675399782,108.26848375,45827.083333333336,90.53805374999999,7.541574239730828,27.011341571807847,12.907328814268109,19.06963765621187,18.62791657447815,8.940558423598606,0.10852863259303076,1.1023640497587626,5.173058877388636,93.50525061289468,90.60392220815025,95.66755199432373,96.0518134435018,14.72825625,3.112642914056778
8,PRI,2005,94.04525248209634,16.0,93.36940892537439,110.64914583333334,46672.916666666664,92.58800833333333,7.698274552822106,80.60316085815428,42.25,77.5,20.891792019208275,13.986497600873292,0.7921293129523594,5.083796193202335,20.7800006866455,93.19829018910727,91.7435754140218,93.60530249277753,93.43338743845624,20.055015625000003,4.478597730398176
9,PRI,2006,94.02422904968262,16.0,93.36940892537439,110.64914583333334,46672.916666666664,92.58800833333333,7.698274552822106,80.60316085815428,40.9000015258789,76.7799987792969,20.89179201920827,14.861056129137655,1.0276130906616647,4.632457310954725,20.7399997711182,93.5964412689209,91.06911563873291,93.58472585678103,93.41249243418378,20.126380625000003,4.5183044970035535
