,ISO_3,year,Compensation of employees (% of expense),CPIA business regulatory environment rating (1=low to 6=high),CPIA debt policy rating (1=low to 6=high),CPIA efficiency of revenue mobilization rating (1=low to 6=high),Gini index,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)"
0,PRI,1997,24.35021917082127,2.645833333333333,2.125,2.875,32.5,54.211
1,PRI,1998,24.780570165399055,2.645833333333333,2.1875,2.875,31.9375,54.288
2,PRI,1999,24.35021917082127,2.645833333333333,2.1875,2.875,32.5,54.239
3,PRI,2000,30.13976236079722,2.583333333333333,2.083333333333333,2.520833333333333,31.629166666666666,52.604
4,PRI,2001,30.56084780177695,2.541666666666667,2.229166666666667,2.729166666666667,32.13333333333333,53.073
5,PRI,2002,28.420189904740642,2.645833333333333,2.229166666666667,2.791666666666667,32.587500000000006,53.577
6,PRI,2003,25.981623441268855,2.6736111111111116,2.1840277777777777,2.8680555555555554,31.9375,54.323
7,PRI,2004,23.399784974539493,2.6597222222222223,2.2013888888888893,2.7777777777777777,31.554166666666667,54.655
8,PRI,2005,23.077702266643083,2.666666666666667,2.151041666666667,2.817708333333333,32.545833333333334,56.162
9,PRI,2006,22.12513411625331,2.767708333333333,2.322916666666667,2.825,32.6875,55.694
10,PRI,2007,22.247062813241477,2.6875,2.166666666666667,2.729166666666667,31.516666666666666,54.831
11,PRI,2008,28.403589153451673,2.645833333333333,2.229166666666667,2.791666666666667,32.587500000000006,53.625
12,PRI,2009,26.16092085147485,2.6875,2.208333333333333,2.770833333333333,30.195833333333333,52.042
13,PRI,2010,24.414170712981367,2.708333333333333,2.229166666666667,2.75,30.741666666666667,50.694
14,PRI,2011,26.87760334595581,2.614583333333333,1.8812499999999999,2.6958333333333337,32.704166666666666,49.123
15,PRI,2012,26.87760334595581,2.614583333333333,1.8812499999999999,2.6958333333333337,32.704166666666666,49.124
16,PRI,2013,26.550340135569694,2.5270833333333336,1.8187499999999999,2.6291666666666664,32.704166666666666,49.209
17,PRI,2014,26.85511084866577,2.4749999999999996,1.8125,2.5875000000000004,32.18333333333334,49.383
18,PRI,2015,24.687009425272382,2.4749999999999996,1.9437499999999999,2.6395833333333334,32.325,49.631
19,PRI,2016,25.477793003948783,2.604166666666667,2.208333333333333,2.729166666666667,31.075000000000003,50.133
20,PRI,2017,24.025261202272485,2.625,2.1875,2.6875,30.97083333333333,50.603
21,PRI,2018,25.413073447138487,2.75,2.375,2.875,30.195833333333333,51.833
22,PRI,2019,28.958928841841065,2.604166666666667,2.208333333333333,2.625,31.941666666666666,52.75
23,PRI,2020,29.0621368440021,2.604166666666667,2.208333333333333,2.625,31.941666666666666,52.76
24,PRI,2021,23.59727587250814,2.75,2.416666666666667,2.854166666666667,30.45,51.683
25,PRI,2022,25.954089004017913,2.6875,2.25,2.833333333333333,32.68333333333334,53.855
26,PRI,2023,25.36885303032294,2.645833333333333,2.208333333333333,2.8125,32.5875,53.983
27,GRD,1997,37.977712642525496,4.5,2.5,3.5,34.62083333333334,44.01091666666667
28,GRD,1998,37.977712642525496,4.5,2.5,3.5,34.62083333333334,44.01091666666667
29,GRD,1999,37.977712642525496,4.5,2.5,3.5,34.62083333333334,44.01091666666667
30,GRD,2000,37.977712642525496,4.5,2.5,3.5,34.62083333333334,44.01091666666667
31,GRD,2001,37.977712642525496,4.5,2.5,3.5,34.62083333333334,44.01091666666667
32,GRD,2002,37.977712642525496,4.5,2.5,3.5,34.62083333333334,44.01091666666667
33,GRD,2003,37.977712642525496,4.5,2.5,3.5,34.62083333333334,44.01091666666667
34,GRD,2004,37.977712642525496,4.5,2.5,3.5,34.62083333333334,44.01091666666667
35,GRD,2005,37.977712642525496,4.5,2.5,3.5,34.62083333333334,44.01091666666667
36,GRD,2006,36.683095128855825,4.5,3.0,3.5,34.2625,43.91912625468632
37,GRD,2007,36.683095128855825,4.5,3.0,3.5,34.2625,43.91912625468632
38,GRD,2008,32.21958766929332,4.0,3.0,3.5,34.55833333333334,44.559088174085865
39,GRD,2009,32.21958766929332,4.0,3.0,3.5,34.55833333333334,44.559088174085865
40,GRD,2010,36.683095128855825,4.5,3.0,3.5,34.2625,43.91912625468632
41,GRD,2011,32.21958766929332,4.0,3.0,3.5,34.55833333333334,44.559088174085865
42,GRD,2012,36.43762749388084,4.0,2.5,3.5,34.462500000000006,37.52612499999999
43,GRD,2013,36.04173436827626,4.0,2.0,3.5,34.19583333333334,39.209208333333336
44,GRD,2014,36.04173436827626,4.0,2.0,3.5,34.19583333333334,39.209208333333336
45,GRD,2015,36.43762749388084,4.0,2.5,3.5,34.462500000000006,37.52612499999999
46,GRD,2016,32.21958766929332,4.0,3.0,3.5,34.55833333333334,44.559088174085865
47,GRD,2017,33.41587082664371,3.5,3.0,3.5,34.7625,43.74283333333334
48,GRD,2018,32.56338815609759,3.0,3.0,3.5,43.8,36.218500000000006
49,GRD,2019,36.41458951621279,3.0,3.0,4.0,34.34166666666667,39.73049999999999
50,GRD,2020,36.41458951621279,3.0,3.0,4.0,34.34166666666667,39.73049999999999
51,GRD,2021,28.422056660877058,3.0,3.5,3.5,36.675,46.227304827230654
52,GRD,2022,28.422056660877058,3.0,3.5,3.5,36.675,46.227304827230654
53,GRD,2023,28.422056660877058,3.0,3.5,3.5,36.675,46.227304827230654
54,GIN,1997,16.073826815075417,3.0,2.5,3.0,36.94583333333333,65.901
55,GIN,1998,17.4599313708849,3.0,2.5,3.0,35.75416666666666,66.032
56,GIN,1999,17.372189638113774,3.0,2.5,3.0,36.025000000000006,66.082
57,GIN,2000,19.302468366222886,3.0,2.5,3.0,34.8125,66.153
58,GIN,2001,14.38194537615027,3.0,2.5,3.0,34.09166666666667,66.307
59,GIN,2002,23.161576854000405,3.0,2.5,3.0,43.0,66.395
60,GIN,2003,15.471936969353363,3.0,2.5,3.0,34.61666666666667,65.666
61,GIN,2004,19.919580845543777,3.0,2.5,3.0,38.012499999999996,64.931
62,GIN,2005,17.15560317531377,3.0,2.5,3.0,35.275000000000006,64.192
63,GIN,2006,16.6341283884446,3.0,2.5,3.0,36.99583333333334,63.448
64,GIN,2007,19.027050043384545,3.0,2.5,3.0,39.4,62.697
65,GIN,2008,16.105451436931645,3.0,2.5,3.0,35.233333333333334,61.942
66,GIN,2009,17.915929646654362,3.0,2.0,3.0,38.5875,61.186
67,GIN,2010,20.800581287435225,2.5,2.0,3.0,36.8375,60.429
68,GIN,2011,20.14963539646726,2.5,2.5,3.0,37.00833333333333,59.671
69,GIN,2012,22.950871833764342,2.5,3.0,3.0,33.7,58.914
70,GIN,2013,19.22941271319454,2.5,3.0,3.0,36.30833333333333,58.161
71,GIN,2014,18.199054030141816,3.0,3.0,3.0,35.3125,57.408
72,GIN,2015,21.5230958846664,3.0,3.0,3.0,34.975,56.656
73,GIN,2016,24.2463154487459,3.0,3.0,3.5,34.02083333333333,55.908
74,GIN,2017,21.313004628930134,3.0,3.0,3.5,33.6,55.161
75,GIN,2018,28.980765445925233,3.0,3.0,3.5,29.6,54.416
76,GIN,2019,27.723573178920603,3.0,3.0,3.5,33.74583333333334,53.671
77,GIN,2020,31.305486018617888,3.0,3.0,3.5,34.075,53.164
78,GIN,2021,31.896488024690033,3.0,3.0,3.5,34.52083333333334,53.384
79,GIN,2022,31.51928747765315,3.0,3.5,3.5,34.52083333333333,53.316
80,GIN,2023,31.305486018617888,3.0,3.5,3.5,34.075,53.161
81,CSS,1997,20.530830014615425,4.2,3.4,3.5,36.708333333333336,64.6334585090373
82,CSS,1998,15.451955675367264,4.2,3.4,3.5,34.5625,64.4735591612094
83,CSS,1999,17.617519861918012,4.2,3.4,3.5,35.225,64.3978676501363
84,CSS,2000,15.451955675367264,4.2,3.4,3.5,34.5625,64.4727305898615
85,CSS,2001,17.14059081437823,4.2,3.4,3.5,35.03333333333333,64.53957169592
86,CSS,2002,18.76849386420632,4.2,3.4,3.5,36.708333333333336,64.6169871493389
87,CSS,2003,20.446406948838785,4.2,3.4,3.5,37.9125,64.8531898405078
88,CSS,2004,14.18957925432111,4.2,3.4,3.5,35.545833333333334,65.1576162031679
89,CSS,2005,16.325974819130856,4.2,3.4,3.5,35.5375,65.3369169634289
90,CSS,2006,13.811667402872427,4.2,3.5,3.4,34.88333333333333,65.518610672978
91,CSS,2007,16.97023354104901,4.2,3.5,3.8,34.9875,65.6902387573617
92,CSS,2008,17.450715080020252,4.1,3.4,3.8,36.94583333333334,65.8386158182189
