,ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),Women's share of population ages 15+ living with HIV (%),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),"Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)"
0,GRD,1997,24.6,30.330937369647884,0.5583333333333335,16.6,7.9,93.91274391108529,0.40875,40.208333333333336,96.0,95.0,92.0,2.51356792642017,90.46090577650304,97.26666666666667,56.71278568538732,42.0,2.093372727152621,1.1,55.369097399268526,5.35886383,4.4875,72.631,72.568
1,GRD,1998,24.6,32.676487274621294,0.6250000000000001,16.1,7.8,92.71741193303315,0.30333333333333334,39.25,96.0,97.0,97.0,3.5781512597535032,90.70894050017287,99.0,55.48293042256759,42.0,3.387930795097492,1.1,53.665342618193094,5.35886383,4.575,59.44,72.805
2,GRD,1999,24.6,31.546979121079588,0.4625,15.8,7.9,94.1088385320502,0.30083333333333334,39.125,96.0,88.0,94.0,3.9077345930868366,92.56769573434366,99.0,56.721359864887695,42.0,1.0726775382675124,1.1,54.64085662691501,5.35886383,5.491666666666667,54.297,72.903
3,GRD,2000,24.6,36.60811959614013,0.8375,15.5,7.9,93.3076378093218,0.43124999999999997,27.083333333333332,96.0,97.0,92.0,6.2,89.7301145671362,100.0,53.5877003252789,42.0,1.87305936073057,1.1,33.6801404160908,5.35886383,6.270833333333333,53.863,72.783
4,GRD,2001,24.0,38.34076582121866,0.7842273863098094,15.2,7.9,93.5399527788903,0.2945275843019707,42.833333333333336,96.0,96.0,99.0,2.6470833253875004,90.0249359067911,79.0625,56.66770513623556,40.0,2.00136986301368,0.9,35.667840955216164,5.62456989,7.846225888033116,53.556,73.118
5,GRD,2002,23.3,37.11449728192838,0.9125000000000001,15.0,7.9,93.7722677484587,0.3833333333333333,43.0,98.0,98.0,96.0,6.9,90.3155499931388,100.0,54.46893844283174,36.0,2.12968036529679,0.8,33.27723798213938,6.17569733,6.637499999999999,52.839,73.167
6,GRD,2003,22.6,37.30877059022624,0.8958333333333333,14.8,7.9,94.0045827180272,0.36583333333333334,42.791666666666664,97.0,97.0,99.0,5.6999998093,90.6019568261797,100.0,54.81209702602882,34.0,2.25799086757991,1.3,33.219014631949655,5.28485727,6.908333333333333,52.019,73.188
7,GRD,2004,22.1,36.40626746158938,0.48422738630980927,14.6,7.9,94.2368976875956,0.27411091763530393,29.5,83.0,83.0,74.0,2.9049999999999994,90.8841564059136,78.90833333333333,55.74591742790325,41.0,2.38630136986302,0.4,44.804641729744425,5.36568451,6.233725888033115,51.109,71.788
8,GRD,2005,21.6,37.9663849514382,0.9249999999999999,14.5,7.8,94.4692126571641,0.35375,44.458333333333336,99.0,99.0,99.0,4.1,91.1621487323408,100.0,54.6688178276185,32.0,2.51461187214613,0.1,32.73593393893393,5.14460278,7.370833333333332,50.249,73.521
9,GRD,2006,21.1,37.125877546089484,0.6092273863098093,14.4,7.8,94.7015276267326,0.23202758430197062,46.208333333333336,91.0,91.0,98.0,2.8070833253874996,91.4359338054609,79.15833333333335,58.131912921163206,30.0,2.64292237442919,0.1,34.47742329322434,5.11352158,8.53789255469978,49.339,73.7
10,GRD,2007,20.7,37.49256582458218,0.8541666666666666,14.4,7.8,94.9338425963011,0.3383333333333334,46.291666666666664,96.0,96.0,98.0,2.6,91.7055116252743,98.8,54.80311125807625,29.0,2.7712328767123,0.1,33.65333448861819,5.23867893,7.424999999999999,48.585,74.317
11,GRD,2008,20.2,39.90005157219508,0.8758940529764758,14.4,7.9,95.1661575658695,0.2524442509686373,47.791666666666664,99.0,99.0,99.0,2.6,91.9708821917809,79.28333333333333,58.33506514516461,29.0,2.89954337899542,0.0,37.72819339631715,5.386199,8.517059221366448,47.759,74.656
