,ISO_3,year,CPIA gender equality rating (1=low to 6=high),"Literacy rate, youth (ages 15-24), gender parity index (GPI)","School enrollment, tertiary (gross), gender parity index (GPI)","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","Adjusted net enrollment rate, primary, female (% of primary school age children)","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Adolescents out of school, female (% of female lower secondary school age)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Proportion of seats held by women in national parliaments (%),Women Business and the Law Index Score (scale 1-100),Pregnant women receiving prenatal care (%),"Employers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contraceptive prevalence, any modern method (% of married women ages 15-49)","Contraceptive prevalence, any method (% of married women ages 15-49)",Unmet need for contraception (% of married women ages 15-49)
0,PRI,1997,3.479166666666667,1.0001504197716709,0.8604024971524871,84.31026681264242,89.07813791666666,58.36785713831583,20.956060330073036,7.350417718291281,11.864878853162136,20.11059374421218,81.25,63.80833333333333,1.79496665083302,1.74724680572551,31.508333333333333,50.17778737972795,15.549736970971015
1,PRI,1998,3.395833333333333,0.9992395887772241,0.8628445863723758,84.43364588419598,87.62257,60.522380828857415,22.89792394638062,8.967148125171658,12.88281540075938,22.273068425678172,81.25,65.81666666666666,1.78219711759551,1.32601886317689,32.175,49.80633983888546,15.179451910440996
2,PRI,1999,3.354166666666667,0.9994433298707011,0.9144179175297426,83.6995086669922,86.39026208333333,62.219421704610184,24.69123470783234,8.14422105749448,13.955821235974636,21.746885565850228,81.25,63.641666666666666,1.91846570580602,1.06138492295242,32.175,49.5021731722188,15.196118577107661
3,PRI,2000,3.6875,0.9995108296473816,1.2546633630991004,88.6699981689453,93.30682958333334,80.9800033569336,40.0800018310547,5.631988555192952,15.010037998358415,26.631586458335466,81.25,86.9875,1.87521516372694,1.03379842449525,41.69526167127484,73.21945404639462,13.763934072886645
4,PRI,2001,3.354166666666667,0.9994433298707011,0.9222141653299335,84.93697897593182,85.48488958333333,62.65196418762206,24.442068060239162,8.178435663382208,16.382074594497688,20.848547149693147,81.25,63.641666666666666,1.88171174808236,0.876059749697214,31.37083333333334,49.10217317221879,15.599956000024328
5,PRI,2002,3.354166666666667,0.9996366674701371,0.9098950028419502,84.20784187316897,87.12784125,61.86192162831624,24.452901403109234,7.934691896041232,12.494097352027893,22.45133124751715,81.25,63.641666666666666,2.03927311136184,1.21248129566059,32.175,49.811120713061285,15.179451910440994
6,PRI,2003,3.354166666666667,0.9994433298707011,0.922103330492974,84.29242515563966,86.77720916666667,62.219421704610184,24.69123470783234,8.03506647547086,13.955821235974636,20.24044867041441,81.25,63.641666666666666,1.96757625656708,1.005057633498,32.175,49.50217317221879,15.196118577107661
7,PRI,2004,3.354166666666667,0.9994433298707011,0.9242183317740764,84.29242515563966,86.32333,62.21942170461018,23.90123474597932,7.4510744089881555,13.955821235974636,20.423298710292634,81.25,63.641666666666666,1.99432074438123,0.960479426731989,32.175,49.5021731722188,15.599956000024328
8,PRI,2005,3.4375,1.0009962543845177,0.9122570802768073,83.35271771748862,86.473715,57.96544488271076,45.1300010681152,7.767303176224232,15.596386472384143,21.14085837068731,81.25,63.608333333333334,1.99015609512496,0.931803908809576,31.20416666666667,50.206339838885455,14.78361857710766
9,PRI,2006,3.458333333333333,1.0010129188497858,0.9184024979670843,83.44721762339276,86.49095708333334,58.161231040954576,44.4000015258789,7.767303176224232,15.425136526425689,21.308231653171354,81.25,63.67916666666667,2.08771600300526,0.903268219383922,31.416666666666675,50.206339838885455,14.78361857710766
10,PRI,2007,3.4375,0.9997150078415871,1.37222003936768,92.78408368428549,93.51172791666667,52.942670663197845,44.4599990844727,5.786092440287273,13.191795587539676,26.909327343235493,81.25,87.00416666666666,2.13297208276888,0.853037047156101,44.85416666666667,70.73612071306128,11.415374145137683
11,PRI,2008,3.4375,0.9997854207952817,1.35198998451233,92.85083389282227,93.51172791666666,53.823551019032806,46.3400001525879,5.793506185213726,13.843310991923017,26.909327343235493,81.25,86.95416666666667,2.01936698298112,0.837748151598067,44.85416666666667,70.73612071306128,11.415374145137683
12,PRI,2009,3.354166666666667,0.9998683333396914,1.35258996486664,94.72676213582358,93.56516958333333,53.341629823048926,26.865339279174805,6.591410716374716,12.940131465593971,28.32435703148616,81.25,89.12916666666666,2.04129837516628,0.848054633531827,44.30416666666666,70.49862071306129,11.599956000024328
13,PRI,2010,3.5541666666666667,1.0,1.32163000106812,87.3362627029419,92.84468,55.00271542867024,26.804089148839314,7.838369677464168,12.539845347404476,25.59143715440237,81.25,82.1875,2.05330734642937,0.851840454086954,38.145833333333336,69.66508684373383,13.397948026507894
14,PRI,2011,3.583333333333333,1.003144994378089,1.31152999401093,93.57767200469969,89.51948,81.0899963378906,47.9300003051758,10.1303796768188,14.618346303701403,26.916682118516253,81.25,85.85854667825066,2.10221349165414,0.817137275989596,34.72297895087881,67.04046755893049,14.916768934889461
15,PRI,2012,3.6291666666666664,1.003144994378089,1.30434000492096,89.0500030517578,89.99319,80.9599990844727,30.03432138760884,8.88327980041504,16.4300003051758,27.34796798595287,81.25,85.82521334491733,2.16546840262553,0.803127017457271,35.50214561754548,67.04046755893049,14.355600739553314
16,PRI,2013,3.5416666666666665,0.9989124983549118,1.30007994174957,87.2803840637207,88.45844,56.666882197062165,28.527399937311813,7.10257005691528,11.048177222410835,24.01018289488813,81.25,79.67916666666667,2.18851518038152,0.776505436870352,36.554166666666674,67.71563279820654,12.337359020777143
17,PRI,2014,3.466666666666667,0.999159999191761,1.28714001178741,85.34558645884195,88.23688,55.61667299270629,27.138213455677032,3.93046998977661,11.677096863587693,22.670897180602417,81.25,81.89166666666665,2.21981410313701,0.77978371614979,37.983333333333334,69.34842017706715,12.235101540777142
18,PRI,2015,3.4916666666666667,0.999159999191761,1.27549004554749,85.34558645884195,85.88144,55.61667299270629,27.138213455677036,4.10200023651123,10.209875226020811,21.867315930700627,81.25,81.81666666666666,2.25963747256186,0.783027306079781,39.075,69.34842017706714,12.946721846610476
19,PRI,2016,3.658333333333333,0.999159999191761,1.26450002193451,87.21412626902261,80.3519,56.59895308812459,27.904066642125446,9.14671039581299,10.845677196979523,25.02145876912366,81.25,81.82083333333333,2.16634386586243,0.769630900337557,36.75416666666667,69.1697994648732,12.24255517994381
20,PRI,2017,3.729166666666667,1.0,1.2582958588997544,91.5800018310547,93.68195166666666,88.879997253418,55.3499984741211,4.9987102697292976,8.77000045776367,25.220911909854692,81.25,86.84166666666667,2.06837406755473,0.742804921420243,40.26192833794151,72.56112071306129,14.316092766036878
21,PRI,2018,3.354166666666667,0.9987450018525126,1.26999998092651,95.00978406270346,94.47581333333332,53.50792296727499,27.552400032679245,4.27993011474609,10.845038672288256,22.919780716919462,81.25,89.05416666666666,2.23107232320351,0.729650463107411,40.795833333333334,68.96528737972795,11.462456000024329
