ISO_3,year,"Literacy rate, adult total (% of people ages 15 and above)","Compulsory education, duration (years)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Primary education, teachers","Adjusted net enrollment rate, primary (% of primary school age children)",Children out of school (% of primary school age),"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Adolescents out of school (% of lower secondary school age),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)",Expenditure on tertiary education (% of government expenditure on education),"Government expenditure on education, total (% of GDP)"
BMU,2011,,13.0,,101.9774,486.0,96.26612,1.66812002658844,,,,3.06647992134094,,,,,,,,,,2.19656991958618
BMU,2012,,13.0,,99.13669,429.0,92.71386,0.677299976348877,,,,,,,,,,,,,,2.38597130775452
BMU,2013,,13.0,,97.07174,573.0,,,,,,,,,,,,,,,,2.27950310707092
BMU,2014,,13.0,,106.87593,610.0,,,,,,,,,,,,,98.0618667602539,,18.23369,1.5368800163269
BMU,2015,,13.0,,70.75038,398.0,,,,,,,,,,,,,,98.5322799682617,,1.50163996219635
BMU,2016,,13.0,,,420.0,,,,54.7400016784668,87.4499969482422,,31.1100006103516,1.27999997138977,9.98999977111816,40.810001373291,,,,,,1.91544389724731
BMU,2017,,13.0,,,,,,,,,,,,,,,89.3953323364258,,,16.98494,1.32495999336243
BMU,2018,,13.0,,,,,,,,,,,,,,,,95.9330673217773,,,1.93595468997955
BMU,2019,,13.0,,,,,,,,,,,,,,,,,,,1.92679822444916
BMU,2020,,13.0,,,,,,,,,,,,,,,,,,,1.89008772373199
BMU,2021,,13.0,,,,,,,,,,,,,,,,,,,1.88491690158844
BMU,2022,,13.0,,,,,,,,,,,,,,,,,,,1.92221343517303
BMU,2023,,13.0,,,,,,,,,,,,,,,,100.0,,,1.93364679813385
GRD,1997,,,,99.43883,878.0,,,,,,,,,,,,,,,,
GRD,1998,,9.0,,104.93827,859.0,,,,,,,,,,,,,,,,
GRD,1999,,9.0,,106.94981,872.0,99.7502,0.535539984703064,,,,,,,,,,,,,,
GRD,2000,,9.0,,,796.0,,,,,,,,,,,,,,,,
GRD,2001,,9.0,,,765.0,,,,,,,,,,,,,,,,
GRD,2002,,12.0,,126.21798,,99.18575,3.31727004051208,,,,6.72790002822876,,,,,,,,,,
GRD,2003,,12.0,,105.63236,888.0,,,,,,18.9457607269287,,,,,87.9077987670898,97.869987487793,81.357307434082,90.5052032470703,9.7668,3.92673993110657
GRD,2004,,12.0,,,895.0,99.67625,1.49997997283936,,,,7.48362016677856,,,,,,,,,,
GRD,2005,,12.0,,103.89269,791.0,96.52311,7.48130989074707,,,,9.86454963684082,,,,,,,,,,
GRD,2006,,12.0,,,,,,,,,,,,,,,,,,,
GRD,2007,,12.0,,104.47678,871.0,98.8071,2.80386996269226,,,,,,,,,,,,,,
GRD,2008,,12.0,,105.99534,615.0,98.73716,1.08798003196716,,,,,,,,,,,,,,
GRD,2009,,12.0,,116.73767,830.0,,,,,,,,,,,,,,,,
GRD,2010,,12.0,,120.52263,851.0,,,,,,,,,,,,,,,,5.07508230209351
GRD,2011,,12.0,,,903.0,,1.09829938411713,,,,0.141767114400864,,,,,,,,,,5.48532342910767
GRD,2012,,12.0,,,,,,,,,,,,,,,,,,,5.07225894927979
GRD,2013,,12.0,,114.62815,875.0,,,,,,8.52204036712646,,,,,,,,,,
GRD,2014,,12.0,,106.56977,902.0,,1.07585000991821,,,,7.12874984741211,,,,,,,,,,4.47756576538086
GRD,2015,,12.0,,104.94719,791.0,,1.15340995788574,,,,0.833329975605011,,,,,,,,,,4.23861026763916
GRD,2016,,12.0,,100.76545,854.0,,2.01852011680603,,,,0.237542062997818,,,,,,,,,,
GRD,2017,,12.0,,100.91892,832.0,,,,,,,,,,,,,,,13.58036,3.17379999160767
GRD,2018,,12.0,97.8070983886719,98.86609,807.0,99.23558,6.31348180770874,47.0323791503906,18.3204936981201,43.5216789245605,1.99791657924652,5.19569635391235,,1.8291323184967,11.8481788635254,,,,,,3.55919337272644
GRD,2019,,12.0,98.9631881713867,,,,,52.8047065734863,21.9874877929688,47.675594329834,,5.98692035675049,0.395228892564774,2.28098464012146,14.0031547546387,,,,,,
GRD,2020,,12.0,98.8732070922852,,725.0,,,53.2260856628418,24.8968563079834,49.797176361084,,6.11760234832764,0.405644357204437,2.28998374938965,16.3367195129395,,,,,,
GRD,2021,,12.0,,,747.0,,18.3710918426514,,,,8.70334339141846,,,,,,,,,,4.09030342102051
GRD,2022,,12.0,,,678.0,,,,,,,,,,,,,,,,3.93536496162415
GRD,2023,,12.0,,,,,,,,,,,,,,,,,,,
GIN,1997,,,,,13234.0,,,,,,,,,,,,,,,,
GIN,1998,,6.0,,39.0838,13883.0,40.86318,58.6829605102539,,,,,,,,,,,,,,
GIN,1999,,6.0,,49.50388,15512.0,43.00455,56.5643997192383,,,,68.7945785522461,,,,,,,,,,1.61954998970032
GIN,2000,,6.0,,58.52181,17340.0,45.75882,53.9359817504883,,,,,,,,,,,,,,1.7786500453949
GIN,2001,,6.0,,61.99362,19244.0,48.92625,51.0318183898926,,,,65.3554000854492,,,,,,,,,,1.42785000801086
GIN,2002,,6.0,,65.45715,21125.0,55.94373,44.0459518432617,,,,61.4322509765625,,,,,,,,,,1.77897000312805
GIN,2003,30.0,6.0,,73.56487,23859.0,59.10019,40.8999710083008,,,,,,,,,,,,,,1.62612998485565
GIN,2004,,6.0,,79.46541,25361.0,61.84531,38.001781463623,,,,58.9792900085449,,,,,,,,,25.77659,1.51568996906281
GIN,2005,,6.0,,80.24373,26897.0,63.59582,36.2287483215332,,,,55.7204284667969,,,,,,,,,30.56197,1.26814997196198
GIN,2006,,6.0,,81.99904,28296.0,65.57848,34.1395416259766,,,,54.3660888671875,,,,,,,,,,
GIN,2007,,6.0,,84.79463,29049.0,67.55235,32.0560111999512,,,,,,,,,,,,,,
GIN,2008,,6.0,,84.65649,30933.0,66.59745,32.8044509887695,,,,,,,,,47.5143203735352,89.9382781982422,96.6954193115234,65.5703735351562,34.42411,1.58112001419067
GIN,2009,,6.0,,92.65764,31810.0,67.9527,31.0091800689697,,,,,,,,,95.225227355957,95.2571487426758,89.5769195556641,93.9631423950195,34.20871,2.20725011825562
GIN,2010,25.0,6.0,,93.74702,34451.0,70.28759,27.5755596160889,11.6800003051758,5.0,,51.0910987854004,2.80999994277954,,,,98.1706771850586,98.3566970825195,75.6374816894531,92.2934036254883,36.23715,2.55118989944458
GIN,2011,,6.0,,97.16171,34861.0,74.37522,22.9263706207275,,,,53.2163009643555,,,,,97.2311782836914,97.1571807861328,94.5822906494141,96.4833984375,43.33534,2.28742003440857
GIN,2012,,6.0,,98.87957,36731.0,74.17666,23.3120594024658,,,,51.8221969604492,,,,,95.6128921508789,94.472526550293,98.4137802124023,,33.38798,1.83370995521545
GIN,2013,,6.0,,101.4478,37687.0,75.47206,21.3536796569824,,,,50.8452377319336,,,,,80.7341537475586,81.0418930053711,66.8239822387695,77.3917770385742,34.6366,2.63421010971069
GIN,2014,32.0,6.0,16.3700008392334,104.7354,37938.0,79.30492,17.5733890533447,10.8699998855591,5.3899998664856,6.73999977111816,51.0447196960449,4.42999982833862,,0.0799999982118607,,94.0970993041992,89.2614593505859,72.9767913818359,87.6136932373047,39.14773,2.42281007766724
GIN,2015,,6.0,,,35940.0,,25.1480846405029,,,,52.8518524169922,,,,,94.0970993041992,89.4920196533203,72.9767913818359,87.6740417480469,39.1215,2.51713991165161
